Название;Категория;Калории (ккал);Белки (г);Жиры (г);Углеводы (г);Ссылка
"Брецель-дог с кунжутом, 160 г";"Хлеб и выпечка пекарен «Ярче!»";220;10;7;29;https://yarcheplus.ru/product/bretsel-dog-37464
"Чиабатта темная, 205 г";"Хлеб и выпечка пекарен «Ярче!»";230;8.3;2.3;43;https://yarcheplus.ru/product/chiabatta-temnaya-37600
"Багет бездрожжевой пшеничный, 150 г";"Хлеб и выпечка пекарен «Ярче!»";273;7.7;3.3;53.2;https://yarcheplus.ru/product/baget-bezdrozhzhevoy-31159
"Минибагет с чесночным маслом, 140 г";"Хлеб и выпечка пекарен «Ярче!»";354;8;13.8;48.3;https://yarcheplus.ru/product/minibaget-36732
"Багет бездрожжевой пшеничный с кунжутом, 150 г";"Хлеб и выпечка пекарен «Ярче!»";299.6;8.7;5.6;53.6;https://yarcheplus.ru/product/baget-bezdrozhzhevoy-31161
"Фаготтини с мясом и картошкой, 110 г";"Хлеб и выпечка пекарен «Ярче!»";280;5.5;14;29;https://yarcheplus.ru/product/fagottini-35970
"Круассан со сливочным кремом, 63 г";"Хлеб и выпечка пекарен «Ярче!»";390;6;19;51;https://yarcheplus.ru/product/kruassan-36597
"Круассан с малиной, 63 г";"Хлеб и выпечка пекарен «Ярче!»";375;5;18;47;https://yarcheplus.ru/product/kruassan-36596
"Чиабатта ржаная, 90 г";"Хлеб и выпечка пекарен «Ярче!»";280;10;2.5;54.4;https://yarcheplus.ru/product/chiabatta-rzhanaya-36921
"Вертут шоколадно-сливочный, 80 г";"Хлеб и выпечка пекарен «Ярче!»";390;6;24;37;https://yarcheplus.ru/product/vertut-shokoladno-slivochniy-36774
"Хлеб пшеничный, 400 г";"Хлеб и выпечка пекарен «Ярче!»";250;8;1;51;https://yarcheplus.ru/product/khleb-5044
"Хлеб Миланский, 250 г";"Хлеб и выпечка пекарен «Ярче!»";290;9.6;2.6;58;https://yarcheplus.ru/product/khleb-7967
"Хлеб пшеничный на молочной сыворотке, 300 г";"Хлеб и выпечка пекарен «Ярче!»";240;8.5;1;49;https://yarcheplus.ru/product/khleb-pshenichniy-5331
"Хлеб со льном, 330 г";"Хлеб и выпечка пекарен «Ярче!»";220;8;6;42;https://yarcheplus.ru/product/khleb-so-lnom-33945
"Хлеб пшеничный Домашний, 300 г";"Хлеб и выпечка пекарен «Ярче!»";220;6;2;41;https://yarcheplus.ru/product/khleb-pshenichniy-4746
"Чиабатта, 230 г";"Хлеб и выпечка пекарен «Ярче!»";230;7.6;2.1;44.7;https://yarcheplus.ru/product/chiabatta-8423
"Хлеб бездрожжевой формовой гречневый, 400 г";"Хлеб и выпечка пекарен «Ярче!»";217;6.8;2.9;43.5;https://yarcheplus.ru/product/khleb-16487
"Хлеб бездрожжевой Славянский, 300 г";"Хлеб и выпечка пекарен «Ярче!»";240;7;1;48;https://yarcheplus.ru/product/khleb-25996
"Хлеб с семечкой пшенично-ржаной, 300 г";"Хлеб и выпечка пекарен «Ярче!»";310;9.5;9.5;44;https://yarcheplus.ru/product/khleb-s-semechkoy-25997
"Хлеб пшенично-ржаной Деревенский, 380 г";"Хлеб и выпечка пекарен «Ярче!»";240;7;1;51;https://yarcheplus.ru/product/khleb-pshenichno-rzhanoy-5301
"Багет пшеничный, 220 г";"Хлеб и выпечка пекарен «Ярче!»";250;8;1;52;https://yarcheplus.ru/product/baget-7293
"Слойка с соленой карамелью и арахисом, 80 г";"Хлеб и выпечка пекарен «Ярче!»";320;4.5;14;43;https://yarcheplus.ru/product/sloyka-s-solenoy-karamelyu-i-arakhisom-36599
"Слойка с сыром и шпинатом, 80 г";"Хлеб и выпечка пекарен «Ярче!»";280;6.5;16.5;27;https://yarcheplus.ru/product/sloyka-s-syrom-i-shpinatom-36598
"Булочка ржано-пшеничная, 60 г";"Хлеб и выпечка пекарен «Ярче!»";280;8.5;2;49;https://yarcheplus.ru/product/bulochka-23989
"Булочка Зерновая, 60 г";"Хлеб и выпечка пекарен «Ярче!»";230;8;5.5;42;https://yarcheplus.ru/product/bulochka-9798
"Булочка пшеничная, 40 г";"Хлеб и выпечка пекарен «Ярче!»";290;7;5.5;49;https://yarcheplus.ru/product/bulochka-6756
"Рулетик с маком, 65 г";"Хлеб и выпечка пекарен «Ярче!»";227.6;4.1;4.4;55;https://yarcheplus.ru/product/ruletik-31188
"Роллини греческие с говядиной в остром соусе, 105 г";"Хлеб и выпечка пекарен «Ярче!»";262;9;13;27;https://yarcheplus.ru/product/rollini-grecheskie-33662
"Круассан, 66 г";"Хлеб и выпечка пекарен «Ярче!»";347;4.6;20.1;36.9;https://yarcheplus.ru/product/kruassan-32821
"Круассан с шоколадной начинкой, 63 г";"Хлеб и выпечка пекарен «Ярче!»";442;5.8;23.9;51.1;https://yarcheplus.ru/product/kruassan-32812
"Булочка Даллас, 97 г";"Хлеб и выпечка пекарен «Ярче!»";242;6.6;6.6;39;https://yarcheplus.ru/product/bulochka-31509
"Злаковый десерт рисовый «Dr Korner» апельсиновый с йогуртом, 34 г";"Хлебцы";480;5.5;18;71;https://yarcheplus.ru/product/zlakoviy-desert-risoviy-40497
"Хлебцы хрустящие «Dr Korner» Рисовые с молочным шоколадом, 67 г";"Хлебцы";500;6.5;20;65;https://yarcheplus.ru/product/khlebtsy-khrustyaschie-40499
"Злаковый десерт гречневый «Dr Korner» клубничный с йогуртом, 34 г";"Хлебцы";490;5.5;18;71;https://yarcheplus.ru/product/zlakoviy-desert-grechneviy-40498
"Хлебцы «Lucky Zlaki» зерновые Итальянские травы, 105 г";"Хлебцы";550;11;22;68;https://yarcheplus.ru/product/khlebtsy-38561
"Снеки-хлебцы «NutVill» льняные «Томаты и прованские травы», 70 г";"Хлебцы";503;17.2;38.3;32.6;https://yarcheplus.ru/product/sneki-khlebtsy-35466
"Хлебцы «KRANKY» Злаковые, 180 г";"Хлебцы";458.9;11.1;15.7;68.3;https://yarcheplus.ru/product/khlebtsy-34569
"Хлебцы «ProteinRex» Шоколадный брауни, 55 г";"Хлебцы";350;20;16;20;https://yarcheplus.ru/product/khlebtsy-34587
"Хлебцы зерновые «Lucky Zlaki» лён и кунжут, 105 г";"Хлебцы";540;11;25;65;https://yarcheplus.ru/product/khlebtsy-zernovye-34434
"Хлебцы многозерновые тонкие «Щедрые», 170 г";"Хлебцы";350;14;3;68;https://yarcheplus.ru/product/khlebtsy-mnogozernovye-tonkie-4430
"Хлебцы «Щедрые» пшеничные, 100 г";"Хлебцы";336;13.5;2.5;68;https://yarcheplus.ru/product/khlebtsy-29043
"Хлебцы «Щедрые» Особые «5 злаков с семенами льна», 200 г";"Хлебцы";431;15;7;77;https://yarcheplus.ru/product/khlebtsy-24382
"Хлебцы вафельные ржаные «Хлебцы-Молодцы» лайт, 70 г";"Хлебцы";345;10;5;65;https://yarcheplus.ru/product/khlebtsy-vafelnye-rzhanye-4429
"Хлебцы цельнозерновые с железом «Хлебцы-Молодцы» Фитнес линия, 100 г";"Хлебцы";290;10;2;57;https://yarcheplus.ru/product/khlebtsy-tselnozernovye-s-zhelezom-3865
"Хлебцы цельнозерновые ржано-пшеничные «Хлебцы-Молодцы» Бородинские, 150 г";"Хлебцы";310;12;2;60;https://yarcheplus.ru/product/khlebtsy-tselnozernovye-rzhano-pshenichnye-3803
"Хлебцы мультизлаковые «Хлебцы доброго дня» с морской солью, 60 г";"Хлебцы";360;15.5;2.5;82;https://yarcheplus.ru/product/khlebtsy-multizlakovye-7261
"Хлебцы «Алтайские» ржаные, 75 г";"Хлебцы";327.9;10.1;4.8;69.1;https://yarcheplus.ru/product/khlebtsy-4507
"Хлебцы «Алтайские» пшеничные с луком, 75 г";"Хлебцы";340;11.3;2;67.2;https://yarcheplus.ru/product/khlebtsy-26142
"Хлебцы «Всегда на ура!» рисовые с кунжутом и морской солью, 60 г";"Хлебцы";345;9;4;70;https://yarcheplus.ru/product/khlebtsy-7258
"Хлебцы хрустящие «Take a Bitey» рисовые с морковью и томатом, 150 г";"Хлебцы";350;8;1;73;https://yarcheplus.ru/product/khlebtsy-khrustyaschie-25115
"Слайсы пшеничные, 90 г";"Хлебцы";382;11.2;1.8;80.3;https://yarcheplus.ru/product/slaysy-4633
"Хлебцы ржаные «Magic Grain» с семенами льна, кунжута и подсолнечника, 160 г";"Хлебцы";386;11;18;45;https://yarcheplus.ru/product/khlebtsy-rzhanye-36098
"Тесто дрожжевое охлажденное, 500 г";"Тесто";230;7;4;47;https://yarcheplus.ru/product/testo-drozhzhevoe-5953
"Растительный йогурт «Velle» клубника-земляника, 230 г";"Диетические продукты";65;1;3.5;8;https://yarcheplus.ru/product/rastitelniy-yogurt-40360
"Десерт на мультизлаковой основе «Velle» Соленая карамель, 130 г";"Диетические продукты";100;1.5;3.5;15;https://yarcheplus.ru/product/desert-na-multizlakovoy-osnove-40362
"Йогурт растительный «Velle» вишня, 230 г";"Диетические продукты";40;0.5;0.3;9;https://yarcheplus.ru/product/yogurt-rastitelniy-40359
"Коктейль на овсяной основе «NeMoloko» банан-клубника, 200 мл";"Диетические продукты";70;1.5;3;10;https://yarcheplus.ru/product/kokteyl-na-ovsyanoy-osnove-39964
"Коктейль на овсяной основе «NeMoloko» вау-какао, 200 мл";"Диетические продукты";70;1.5;3.2;9.5;https://yarcheplus.ru/product/kokteyl-na-ovsyanoy-osnove-39965
"Батончик протеиновый «SOJ» Marshmallow с ароматом вишни в молочном шоколаде, 30 г";"Диетические продукты";276.62;20.08;12.2;21.63;https://yarcheplus.ru/product/batonchik-proteinoviy-37767
"Печенье протеиновое «COCOnitto» BROWNIE с кокосом, 50 г";"Диетические продукты";361;12.7;24;13.1;https://yarcheplus.ru/product/pechenye-proteinovoe-39722
"Печенье протеиновое «FizIQ SNEAKIQ» с солёной карамелью и арахисом, 50 г";"Диетические продукты";316;16;18;12.7;https://yarcheplus.ru/product/pechenye-proteinovoe-39721
"Батончик протеиновый «FizIQ SNEAKIQ» с солёной карамелью и арахисом без добавления сахара, 50 г";"Диетические продукты";310;18;14;12;https://yarcheplus.ru/product/batonchik-proteinoviy-39720
"Пирожное «Royal cake» протеиновое, «Брауни» банановое с коллагеном, 50 г";"Диетические продукты";380;12;26;20;https://yarcheplus.ru/product/pirozhnoe-32435
"Пирожное «Royal cake» протеиновое, «Брауни» вишневое, без сахара, 50 г";"Диетические продукты";340;11;24;12;https://yarcheplus.ru/product/pirozhnoe-32436
"Донат «FitnesSHOCK» с ванильной начинкой, 70 г";"Диетические продукты";359;17;21;19;https://yarcheplus.ru/product/donat-39462
"Донат «FitnesSHOCK» с шоколадной начинкой, 70 г";"Диетические продукты";366;17;22;19;https://yarcheplus.ru/product/donat-39461
"Брауни «FitnesSHOCK» миндаль-кокос, 50 г";"Диетические продукты";466;15;34;20;https://yarcheplus.ru/product/brauni-38730
"Печенье «Solvie» протеиновое Лесной орех, 60 г";"Диетические продукты";288;20;13.2;9;https://yarcheplus.ru/product/pechenye-38647
"Напиток овсяный «NeMoloko», 200 мл";"Диетические продукты";60;1;3.2;6.5;https://yarcheplus.ru/product/napitok-ovsyaniy-38175
"Сметана «NeMoloko» соевая, 10%, 140 г";"Диетические продукты";120;5;10;3;https://yarcheplus.ru/product/smetana-38179
"Десерт овсяный «NeMoloko» со злаковыми шариками в шоколаде, 130 г";"Диетические продукты";150;5;7;17;https://yarcheplus.ru/product/desert-ovsyaniy-38180
"Батончик протеиновый «SOJ» Marshmallow с соленой карамелью в молочном шоколаде, 30 г";"Диетические продукты";296.46;20.22;13.76;23.05;https://yarcheplus.ru/product/batonchik-proteinoviy-37768
"Пирожное протеиновое «Royal cake» Брауни классическое, 50 г";"Диетические продукты";360;12;26;7;https://yarcheplus.ru/product/pirozhnoe-proteinovoe-37610
"Брауни «FitnesSHOCK» «Белый шоколад и фисташка», 50 г";"Диетические продукты";466;14;34;20;https://yarcheplus.ru/product/brauni-37118
"Брауни «FitnesSHOCK» Горячий шоколад, 50 г";"Диетические продукты";466;14;34;20;https://yarcheplus.ru/product/brauni-37117
"Печенье «Solvie» протеиновое шоколадное, 60 г";"Диетические продукты";282;32;13;9;https://yarcheplus.ru/product/pechenye-36949
"Напиток на рисовой основе «NeMoloko» «Кокосовый», 1 л";"Диетические продукты";50;0.5;1.5;8.5;https://yarcheplus.ru/product/napitok-na-risovoy-osnove-36849
"Зефир «Belucci» с чёрной смородиной, 130 г";"Диетические продукты";210;1.5;1.5;71;https://yarcheplus.ru/product/zefir-35562
"Печенье «Solvie» протеиновое Малиновый чизкейк, 60 г";"Диетические продукты";283;33;13;8.8;https://yarcheplus.ru/product/pechenye-35884
"Печенье «Solvie» протеиновое Арахис с соленой карамелью, 60 г";"Диетические продукты";288;33;13;9;https://yarcheplus.ru/product/pechenye-35883
"Тофу «VEG`S Family» классический, 250 г";"Диетические продукты";78.9;8.7;3.7;2.7;https://yarcheplus.ru/product/tofu-35547
"Хлебцы «ProteinRex» Шоколадный брауни, 55 г";"Диетические продукты";350;20;16;20;https://yarcheplus.ru/product/khlebtsy-34587
"Йогурт соевый «NeMoloko» Тропический Микс, 130 г";"Диетические продукты";100;6.5;5;8;https://yarcheplus.ru/product/yogurt-soeviy-34499
"Наггетсы «Like Meat», 300 г";"Диетические продукты";90;12;1;5;https://yarcheplus.ru/product/naggetsy-28947
"Котлетки «Fitto Light» с цветной капустой, брокколи, фасолью, 290 г";"Диетические продукты";70;3.5;6;8.5;https://yarcheplus.ru/product/kotletki-28946
"Напиток овсяный «NeMoloko» шоколадный, 1 л";"Диетические продукты";70;1;3.2;9.5;https://yarcheplus.ru/product/napitok-ovsyaniy-29166
"Напиток овсяный 3.2% «NeMoloko» классический, 1 л";"Диетические продукты";60;1;3.2;6.5;https://yarcheplus.ru/product/napitok-ovsyaniy-17745
"Пудинг 1.5% «Ehrmann» HIGH PROTEIN, Ваниль, 200 г";"Диетические продукты";160;10;1.5;6.1;https://yarcheplus.ru/product/puding-18430
"Пудинг 1.5% «Ehrmann» HIGH PROTEIN, Шоколад, 200 г";"Диетические продукты";160;10;1.5;6;https://yarcheplus.ru/product/puding-18429
"Йогурт овсяный «NeMoloko» Груша с овсяными хлопьями, 130 г";"Диетические продукты";130;6.5;5;16;https://yarcheplus.ru/product/yogurt-ovsyaniy-29803
"Йогурт «NeMoloko» овсяный Вишня, 130 г";"Диетические продукты";130;6.5;5;16;https://yarcheplus.ru/product/yogurt-29804
"Напиток овсяный «NeMoloko» шоколадный, 200 мл";"Диетические продукты";70;1;3.2;9.5;https://yarcheplus.ru/product/napitok-ovsyaniy-38176
"Напиток на рисовой основе «NeMoloko» «Миндальный», 1 л";"Диетические продукты";50;0.5;1.5;8.5;https://yarcheplus.ru/product/napitok-na-risovoy-osnove-36850
"Говядина для тушения «Гордость фермера», 500 г";"Говядина, свинина";226;16;18;;https://yarcheplus.ru/product/govyadina-dlya-tusheniya-40808
"Люля-кебаб «Боровково» из свинины, 400 г";"Говядина, свинина";292;10;28;;https://yarcheplus.ru/product/lyulya-kebab-40773
"Чалагач «Омский бекон» в маринаде, 1 - 1,2 кг";"Говядина, свинина";219;21;15;;https://yarcheplus.ru/product/chalagach-40603
"Шашлык классический охлажденный «Омский бекон», 1,3 - 2 кг";"Говядина, свинина";134;11;10;;https://yarcheplus.ru/product/shashlyk-klassicheskiy-okhlazhdenniy-40602
"Шницель свиной «Боровково» охлажденный, 400 г";"Говядина, свинина";144;18;8;;https://yarcheplus.ru/product/shnitsel-svinoy-39712
"Стейк из говядины «Мясо есть» Минутка в маринаде, 150 г";"Говядина, свинина";177;19;11;0.5;https://yarcheplus.ru/product/steyk-iz-govyadiny-39516
"Фарш «Боровково» Домашний, 400 г";"Говядина, свинина";295;13;27;;https://yarcheplus.ru/product/farsh-39459
"Колбаски «Сибагро» свиные с сыром, 400 г";"Говядина, свинина";347;8;35;;https://yarcheplus.ru/product/kolbaski-38218
"Шницель «Гордость фермера» в маринаде, 600 г";"Говядина, свинина";226;16;18;;https://yarcheplus.ru/product/shnitsel-38100
"Бифштекс «Гордость фермера» из говядины, 400 г";"Говядина, свинина";131;12;7;5;https://yarcheplus.ru/product/bifshteks-32138
"Ребрышки свиные «Боровково», 400 г";"Говядина, свинина";282;10;28;;https://yarcheplus.ru/product/rebryshki-svinye-29702
"Мякоть говядины «Гордость фермера», 500 г";"Говядина, свинина";129;12;9;;https://yarcheplus.ru/product/myakot-govyadiny-25028
"Колбаски «Боровково» Для жарки, 400 г";"Говядина, свинина";291;12;27;;https://yarcheplus.ru/product/kolbaski-23810
"Шашлык Классический из свинины в специях «Боровково», 900 г";"Говядина, свинина";210;12;18;;https://yarcheplus.ru/product/shashlyk-klassicheskiy-iz-svininy-v-spetsiyakh-12717
"Рулька «Боровково» в маринаде, 0,7 - 1,2 кг";"Говядина, свинина";340;13;32;;https://yarcheplus.ru/product/rulka-2594
"Поджарка свиная «Боровково» охлажденная, 500 г";"Говядина, свинина";185;17;13;;https://yarcheplus.ru/product/podzharka-svinaya-6835
"Фарш «Гордость фермера» Говяжий, 400 г";"Говядина, свинина";318;13;30;;https://yarcheplus.ru/product/farsh-18263
"Ребрышки свиные «Омский бекон», 1,1 - 1,3 кг";"Говядина, свинина";236;14;22;;https://yarcheplus.ru/product/rebryshki-svinye-40721
"Рагу свиное «Боровково», 600 г";"Говядина, свинина";292;10;28;;https://yarcheplus.ru/product/ragu-svinoe-33595
"Шейка свиная «Боровково», 500 г";"Говядина, свинина";377;;;;https://yarcheplus.ru/product/sheyka-svinaya-29133
"Мякоть свиная «Боровково» охлажденная, 0,5 - 1,5 кг";"Говядина, свинина";377;;;;https://yarcheplus.ru/product/myakot-svinaya-2522
"Фарш «Боровково» Деревенский, 400 г";"Говядина, свинина";426;12;42;;https://yarcheplus.ru/product/farsh-18561
"Шницель «Новосибирская птицефабрика» «Натуральный», 400 г";"Птица";120;15;4;6;https://yarcheplus.ru/product/shnitsel-40767
"Стрипсы «Новосибирская птицефабрика», 400 г";"Птица";120;15;4;7;https://yarcheplus.ru/product/stripsy-40766
"Колбаски для гриля «Петелинка», 350 г";"Птица";180;16;12;2;https://yarcheplus.ru/product/kolbaski-dlya-grilya-40639
"Чевапчичи «Инди» из индейки, 300 г";"Птица";289;14;18;;https://yarcheplus.ru/product/chevapchichi-40588
"Стейк «Инди» из грудки индейки «Азиатский», 500 г";"Птица";289;14;18;;https://yarcheplus.ru/product/steyk-40587
"Котлеты «Сибагро» Нежные, 400 г";"Птица";177;15;13;;https://yarcheplus.ru/product/kotlety-40579
"Гуляш «Сибагро» из филе цыплят-бройлеров, 500 г";"Птица";117;18;5;;https://yarcheplus.ru/product/gulyash-38742
"Филе грудки индейки «Инди», 500 г";"Птица";116;20;4;;https://yarcheplus.ru/product/file-grudki-indeyki-38498
"Филе цыпленка-бройлера малое, 450 г";"Птица";120;21;4;;https://yarcheplus.ru/product/file-tsyplenka-broylera-37234
"Шашлык из филе цыпленка «Цыпле» в сливочном маринаде, 900 г";"Птица";380;14;36;;https://yarcheplus.ru/product/shashlyk-iz-file-tsyplenka-16523
"Голень цыпленка табака «Рококо», 800 г";"Птица";200;15;15;;https://yarcheplus.ru/product/golen-tsyplenka-tabaka-35184
"Бедро куриное «Сибагро» в маринаде, 0,9 - 1,9 кг";"Птица";186;13;14;;https://yarcheplus.ru/product/bedro-kurinoe-34474
"Фарш куриный «Петелинка» Премиум, из филе грудки, 450 г";"Птица";130;20;5;1.5;https://yarcheplus.ru/product/farsh-kuriniy-34594
"Мясо индейки «Инди» голень бескостная, 0,5 - 1,2 кг";"Птица";141;15;9;;https://yarcheplus.ru/product/myaso-indeyki-34443
"Котлеты куриные «Цыпле», 400 г";"Птица";240;14;18;6;https://yarcheplus.ru/product/kotlety-kurinye-28161
"Филе бедра цыпленка-бройлера, 800 г";"Птица";140;18;8;;https://yarcheplus.ru/product/file-24431
"Куриное филе охлажденное, 0,6 - 1,3 кг";"Птица";110;21;2.5;;https://yarcheplus.ru/product/kurinoe-file-2768
"Набор для тушения из мяса курицы, охлажденный, 0,6 - 1,2 кг";"Птица";321;15;29;;https://yarcheplus.ru/product/nabor-dlya-tusheniya-2947
"Шеи куриные, 1 кг";"Птица";173;14;13;;https://yarcheplus.ru/product/shei-kurinye-2895
"Котлеты «Троекурово» Фри с сыром, 500 г";"Птица";180;13;10.5;;https://yarcheplus.ru/product/kotlety-7260
"Фрикадельки «Троекурово» куриные классические, 300 г";"Птица";180;18;12;1.5;https://yarcheplus.ru/product/frikadelki-25270
"Котлеты куриные «Троекурово» Филейные, 500 г";"Птица";180;16;7;9;https://yarcheplus.ru/product/kotlety-kurinye-7259
"Шницель «Троекурово» куриный рубленый, 525 г";"Птица";210;15;13;10;https://yarcheplus.ru/product/shnitsel-16878
"Красное мясо «Новосибирская птицефабрика» в маринаде, 1,3 - 1,7 кг";"Птица";120;13;7.5;1;https://yarcheplus.ru/product/krasnoe-myaso-40672
"Чевапчичи «Петелинка» Оригинальные, 350 г";"Птица";160;16;10;;https://yarcheplus.ru/product/chevapchichi-40638
"Тушка цыпленка «Сибагро» для жарки, 1,5 - 2,5 кг";"Птица";224;20;16;;https://yarcheplus.ru/product/tushka-tsyplenka-39561
"Задняя четвертина куриная, 0,9 - 1,3 кг";"Птица";185;21.3;11;0.1;https://yarcheplus.ru/product/zadnyaya-chetvertina-36269
"Тефтели «Инди» из индейки, 400 г";"Птица";263;14;23;;https://yarcheplus.ru/product/tefteli-33097
"Фарш из индейки «Инди» Аппетитный, 500 г";"Птица";226;16;18;;https://yarcheplus.ru/product/farsh-iz-indeyki-28922
"Тушка цыпленка-бройлера охлажденная, 1,4 - 2,9 кг";"Птица";190;16;14;;https://yarcheplus.ru/product/tushka-tsyplenka-broylera-3243
"Голень куриная охлажденная, 0,6 - 1,2 кг";"Птица";140;18;7;;https://yarcheplus.ru/product/golen-kurinaya-3198
"Крыло куриное охлажденное, 0,6 - 1,2 кг";"Птица";160;17;10;;https://yarcheplus.ru/product/krylo-kurinoe-2524
"Бедро куриное охлажденное, 0,8 - 1,5 кг";"Птица";140;18;8;;https://yarcheplus.ru/product/bedro-kurinoe-3105
"Грудка куриная охлажденная, 0,6 - 1,4 кг";"Птица";130;21;5;;https://yarcheplus.ru/product/grudka-kurinaya-3188
"Печень куриная охлажденная, 0,5 - 1,1 кг";"Птица";162;18;10;;https://yarcheplus.ru/product/pechen-kurinaya-3227
"Желудки куриные охлажденные, 0,5 - 1,2 кг";"Птица";143;20;7;;https://yarcheplus.ru/product/zheludki-kurinye-2595
"Сердце куриное, 0,5 - 0,8 кг";"Птица";150;15;10;;https://yarcheplus.ru/product/serdtse-kurinoe-2759
"Колбаса «Торговая площадь» Докторская, 400 г";"Вареные колбасы и ветчина";180;15;13;;https://yarcheplus.ru/product/kolbasa-40792
"Колбаса «Мясная коллекция» Филейная, 400 г";"Вареные колбасы и ветчина";101;9;5;5;https://yarcheplus.ru/product/kolbasa-38999
"Колбаса вареная «Черкизово Премиум» Докторская, 150 г";"Вареные колбасы и ветчина";228;12;20;;https://yarcheplus.ru/product/kolbasa-varenaya-38848
"Ветчина «Клинский» для тостов, 210 г";"Вареные колбасы и ветчина";90;16;3;;https://yarcheplus.ru/product/vetchina-38840
"Ветчина «ИНДИлайт» филе индейки Мраморное, в нарезке, 120 г";"Вареные колбасы и ветчина";110;14;4;4;https://yarcheplus.ru/product/vetchina-38184
"Колбаса Докторская «Гордость фермера», 400 г";"Вареные колбасы и ветчина";228;12;20;;https://yarcheplus.ru/product/kolbasa-doktorskaya-3068
"Ветчина «Гордость фермера» вареная, 300 г";"Вареные колбасы и ветчина";195;11;15;4;https://yarcheplus.ru/product/vetchina-3052
"Ветчина Сочная «Кузбасский пищекомбинат», 400 г";"Вареные колбасы и ветчина";193;10;17;;https://yarcheplus.ru/product/vetchina-sochnaya-2551
"Колбаса вареная «Мясная коллекция» Мясная, 400 г";"Вареные колбасы и ветчина";236;8;20;6;https://yarcheplus.ru/product/kolbasa-varenaya-8496
"Колбаса Нежная «Мясная коллекция», 400 г";"Вареные колбасы и ветчина";232;8;20;5;https://yarcheplus.ru/product/kolbasa-nezhnaya-2513
"Колбаса вареная «Гордость фермера» Докторская, 300 г";"Вареные колбасы и ветчина";228;12;20;;https://yarcheplus.ru/product/kolbasa-varenaya-2563
"Ветчина «ИНДИлайт» из филе индейки, 400 г";"Вареные колбасы и ветчина";80;12;2;4;https://yarcheplus.ru/product/vetchina-36060
"Ветчина «Вязанка» Сливушка с индейкой, 300 г";"Вареные колбасы и ветчина";170;11;14;;https://yarcheplus.ru/product/vetchina-35932
"Колбаса «Омский бекон» Докторская ГОСТ, 450 г";"Вареные колбасы и ветчина";229;12;20;;https://yarcheplus.ru/product/kolbasa-23951
"Ветчина «Волков» Венецианка, 450 г";"Вареные колбасы и ветчина";106.1;17.4;1.7;4.3;https://yarcheplus.ru/product/vetchina-25164
"Колбаса вареная «Сибагро» Молочная ГОСТ, 450 г";"Вареные колбасы и ветчина";242;11;22;;https://yarcheplus.ru/product/kolbasa-varenaya-32607
"Колбаса Докторская «СПК», 470 г";"Вареные колбасы и ветчина";230;12;20;;https://yarcheplus.ru/product/kolbasa-doktorskaya-3046
"Колбаса сырокопченая «Banchetto» Фуэт, 110 г";"Копченые колбасы";459;18;43;;https://yarcheplus.ru/product/kolbasa-syrokopchenaya-38495
"Колбаса варено-копченая «Торговая площадь» Сервелат, 300 г";"Копченые колбасы";487;16;47;;https://yarcheplus.ru/product/kolbasa-vareno-kopchenaya-40293
"Колбаса «Торговая площадь» Имперская награда, Династия, 320 г";"Копченые колбасы";310;16;27;8;https://yarcheplus.ru/product/kolbasa-40335
"Колбаса сырокопченая «Сибирская широта» с вяленой грушей, 270 г";"Копченые колбасы";460;15;42;5;https://yarcheplus.ru/product/kolbasa-syrokopchenaya-40004
"Колбаса сырокопченая «Сибирская широта» с грецким орехом, 270 г";"Копченые колбасы";510;17;48;1.5;https://yarcheplus.ru/product/kolbasa-syrokopchenaya-40005
"Колбаса сырокопченая «Ближние горки» Тоскана, 240 г";"Копченые колбасы";366;24;30;;https://yarcheplus.ru/product/kolbasa-syrokopchenaya-39852
"Колбаса «Banchetto» Монреаль, 80 г";"Копченые колбасы";374;13.6;40;;https://yarcheplus.ru/product/kolbasa-39846
"Колбаса «Омский бекон» Салями Финская, 300 г";"Копченые колбасы";253;13.5;21;2.5;https://yarcheplus.ru/product/kolbasa-38426
"Колбаса «Торговая площадь» Миланская, сырокопченая, 180 г";"Копченые колбасы";300;16;26.5;5;https://yarcheplus.ru/product/kolbasa-37370
"Колбаса «Мясницкий ряд» Чоризо полусухая, 90 г";"Копченые колбасы";210;16;16;;https://yarcheplus.ru/product/kolbasa-37561
"Колбаса варено-копченая «Гордость фермера» свиная с сыром, 180 г";"Копченые колбасы";252;10;22;3.5;https://yarcheplus.ru/product/kolbasa-vareno-kopchenaya-36978
"Колбаса полусухая «Di Salsi» с миндалем, 160 г";"Копченые колбасы";305;20;25;;https://yarcheplus.ru/product/kolbasa-polusukhaya-32379
"Колбаса полусухая «Di Salsi» с вишневым вкусом, 150 г";"Копченые колбасы";305;20;25;;https://yarcheplus.ru/product/kolbasa-polusukhaya-32378
"Колбаса «Мясная коллекция» Варшавская варено-копченая, 180 г";"Копченые колбасы";314;11;30;;https://yarcheplus.ru/product/kolbasa-32432
"Колбаса полукопченая «Новосибирская птицефабрика» Пряная с сыром, 300 г";"Копченые колбасы";170;14;12;1;https://yarcheplus.ru/product/kolbasa-polukopchenaya-35274
"Колбаса полукопченая «Омский бекон» Казачья легенда, 380 г";"Копченые колбасы";263;14;23;;https://yarcheplus.ru/product/kolbasa-polukopchenaya-35570
